库编号,统一编号,保存单位,品种名称,译名,科名,属名,学名,系谱,育成年限,原产地,高程,东经,北纬,来源国,芒,壳色,粒色,冬春性,成熟期,穗粒数,穗长,株高,千粒重,粗蛋白,赖氨酸,沉淀值,硬度,容重,抗旱性,耐涝性,芽期耐盐,苗期耐盐,田间抗寒性,人工抗寒性,条锈严重度,条锈反应型,条锈普遍率,叶锈严重度,叶锈反应型,叶锈普遍率,秆锈严重度,秆锈反应型,秆锈普遍率,白粉严重度,白粉反应型,黄矮病,赤霉病病穗,赤霉病病指,赤霉病指数,赤霉病抗性,根腐叶病级,根腐穗病级,其它,省,样品类型
I1B00563,MY000051,京10029,农林7号,hong lin 7 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,顶,白毛,红,弱冬,早,无,无,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00010,MY000052,京10030,农林8号,nong lin 8 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,白,强冬,中,无,无,123,无,无,无,无,13.3,无,4,无,无,无,无,无,25,MS,80,80,MS,100,80,S,100,6,4,7,100,86.7,4.8,S,MS,R,无,国外,国外
I1B07952,MY000053,京10031,农林9号,nong lin 9 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,弱冬,早,无,无,105,无,无,无,无,16.7,无,3,无,无,无,无,无,25,S,80,25,S,100,100,S,100,8,4,7,93.3,53.3,4.4,S,MR,R,无,国外,国外
I1B07953,MY000054,京10032,农林10号,nong lin 10 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,中,无,无,65,无,无,无,无,17.5,无,4,5,无,无,无,无,25,S,80,65,S,100,80,S,100,7,4,4,100,88.3,4.8,S,S,R,无,国外,国外
I1B00011,MY000055,京10033,农林12,nong lin 12,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,白,冬,中,无,无,136,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07954,MY000056,京10034,农林13,nong lin 13,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,白,白,冬,早,无,无,98,无,无,无,无,14.1,无,4,无,无,无,无,无,25,S,80,10,S,100,100,S,100,6,4,6,100,78.3,4.7,S,S,R,无,国外,国外
I1B00012,MY000057,京10035,农林15,nong lin 15,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,极早,无,无,125,无,15.92,0.43,无,25.5,无,3,无,无,无,无,无,65,S,100,40,S,100,80,S,100,7,4,6,100,90,4.9,S,S,R,无,国外,国外
I1B00190,MY000058,京11608,农林16,nong lin 16,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,冬,早,无,无,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00565,MY000059,京10036,农林18,nong lin 18,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白毛,红,弱冬,早,无,无,77,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B04583,MY000060,京11588,农林20,nong lin 20,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,春,中,无,无,90,无,14.97,0.42,无,无,无,5,3,无,无,无,无,80,S,100,10,MS,100,80,S,100,8,4,6,100,81.7,4.7,S,S,R,无,国外,国外
